Field100,,Holds,Holds,UD Latencies,UD Latencies,DD Latencies,DD Latencies
,,mean,std,mean,std,mean,std
subject,sessionIndex,,,,,,
P1164,1,69.402,14.874,288.268,271.751,357.699,271.99
P1164,2,68.143,38.988,239.026,180.416,307.483,181.785
P1164,3,69.633,15.985,223.609,156.907,293.573,157.012
P1164,4,72.044,12.661,226.999,140.049,299.726,137.164
P1164,5,73.738,12.225,212.701,173.498,286.727,170.774
P1164,6,71.749,11.716,198.256,137.13,270.422,134.232
P1164,7,72.892,12.106,205.982,275.117,279.13,273.57
P1164,8,71.579,12.463,180.393,127.757,252.361,125.023
P1165,1,108.226,24.093,141.12,160.463,250.921,157.666
P1165,2,99.924,21.642,88.109,95.902,188.779,94.452
P1165,3,114.244,23.212,103.59,69.552,218.251,67.665
P1165,4,98.929,22.746,86.469,85.902,186.446,82.275
P1165,5,96.123,21.746,85.536,91.903,182.149,87.605
P1165,6,95.693,21.192,95.82,74.459,192.283,76.02
P1165,7,105.801,21.579,86.525,67.772,192.795,66.539
P1165,8,99.551,22.26,82.701,63.835,182.956,61.278
P1166,1,89.232,27.449,228.609,301.488,315.973,296.606
P1166,2,101.846,26.606,206.439,173.506,306.208,167.615
P1166,3,94.837,24.717,137.321,106.891,230.413,100.619
P1166,4,100.555,26.912,141.619,163.094,241.512,154.753
P1166,5,104.224,30.845,135.999,142.021,240.79,136.388
P1166,6,108.781,30.959,97.879,139.784,206.799,129.378
P1166,7,110.749,31.674,101.482,151.736,210.702,140.035
P1166,8,104.57,54.356,84.374,135.283,187.481,133.744
P1167,1,135.947,26.362,230.016,297.25,364.086,296.159
P1167,2,133.639,27.165,167.012,222.479,299.529,219.636
P1167,3,136.141,28.169,114.668,136.763,249.655,129.38
P1167,4,131.744,29.56,112.101,130.605,241.695,127.888
P1167,5,134.588,28.781,89.798,103.19,221.611,101.146
P1167,6,128.681,24.383,97.242,118.423,224.442,119.081
P1167,7,137.212,27.54,79.182,88.135,214.83,82.569
P1167,8,133.569,25.858,71.083,81.816,203.433,77.431
P1168,1,90.575,21.143,157.096,139.304,248.473,140.262
P1168,2,92.187,23.781,152.362,184.123,244.728,184.843
P1168,3,79.004,18.344,146.388,148.56,225.643,146.968
P1168,4,78.919,18.731,134.845,141.365,214.122,139.159
P1168,5,77.76,18.572,114.396,113.383,191.563,110.436
P1168,6,85.205,17.9,111.342,119.471,196.235,116.671
P1168,7,80.796,20.534,116.834,162.934,196.107,160.831
P1168,8,81.236,22.273,120.235,141.742,198.841,143.585
P1169,1,94.913,15.034,214.998,243.454,308.693,240.996
P1169,2,93.366,16.202,148.978,162.993,240.207,161.046
P1169,3,96.021,16.794,119.26,123.173,213.359,121.152
P1169,4,93.448,15.322,127.91,145.208,220.197,144.147
P1169,5,96.472,16.966,116.953,131.454,211.868,129.538
P1169,6,96.26,15.181,105.34,113.685,200.86,112.24
P1169,7,95.805,15.514,96.9,94.037,191.654,91.357
P1169,8,98.763,16.373,82.827,85.584,179.902,82.968
P1173,1,71.256,13.017,189.381,171.984,261.568,169.688
P1173,2,76.199,14.141,148.28,104.338,225.668,104.115
P1173,3,77.218,12.56,133.017,112.876,211.114,111.892
P1173,4,78.217,13.969,143.934,112.735,223.56,111.528
P1173,5,78.065,11.156,133.623,115.846,212.917,115.459
P1173,6,80.768,13.007,125.884,96.309,207.627,96.979
P1173,7,75.878,11.119,124.329,104.531,201.496,104.863
P1173,8,81.525,13.957,115.779,115.207,198.831,113.642
P1174,1,88.497,21.991,99.814,125.834,189.669,122.618
P1174,2,99.997,27.747,107.157,155.166,206.912,152.653
P1174,3,92.467,24.4,80.374,113.282,174.136,107.795
P1174,4,98.675,27.157,87.855,127.103,188.239,121.213
P1174,5,110.638,42.02,87.435,114.485,197.672,108.924
P1174,6,95.845,24.534,72.764,97.563,170.003,92.97
P1174,7,95.795,23.583,89.549,104.895,186.722,105.098
P1174,8,94.652,21.145,86.587,114.73,182.401,114.885
P1176,1,88.972,21.288,172.29,223.458,261.428,221.322
P1176,2,83.512,21.727,118.436,159.588,202.528,153.825
P1176,3,96.584,28.891,85.592,135.245,184.507,128.097
P1176,4,91.025,26.279,75.175,146.586,167.778,140.106
P1176,5,92.009,26.489,72.414,142.582,166.171,137.613
P1176,6,104.621,275.301,60.149,135.93,166.128,310.168
P1176,7,90.766,23.974,67.573,139.546,159.977,135.865
P1176,8,106.663,317.466,79.463,168.283,189.759,365.88
P1177,1,96.264,12.463,115.551,176.673,211.442,175.679
P1177,2,101.333,14.317,66.956,115.379,168.492,113.287
P1177,3,102.217,15.108,54.335,81.365,156.604,79.131
P1177,4,103.977,17.921,40.816,68.099,144.436,68.427
P1177,5,98.644,16.986,29.671,81.117,127.584,79.292
P1177,6,112.276,23.047,24.319,69.169,136.203,66.277
P1177,7,107.831,20.524,23.109,87.013,128.62,83.218
P1177,8,108.612,21.394,20.369,74.897,128.498,66.667
P1178,1,87.674,16.111,458.456,579.346,546.42,578.222
P1178,2,108.078,56.981,349.932,445.691,453.58,447.732
P1178,3,102.302,76.37,424.144,639.941,521.667,645.898
P1178,4,93.455,26.522,349.397,506.666,443.282,507.61
P1178,5,99.69,31.45,320.782,473.834,420.661,473.254
P1178,6,99.851,30.741,285.788,405.396,385.283,404.708
P1178,7,96.114,23.639,272.377,366.684,368.523,367.718
P1178,8,100.029,30.264,260.246,402.402,359.4,398.85
P1179,1,88.084,20.015,344.828,382.998,431.477,384.682
P1179,2,88.256,20.002,309.013,379.789,396.925,380.78
P1179,3,99.246,41.401,219.902,276.538,320.098,281.677
P1179,4,102.254,35.455,175.813,209.276,279.859,214.317
P1179,5,98.549,29.316,162.198,196.327,262.498,196.717
P1179,6,98.738,28.919,146.274,173.767,246.7,177.335
P1179,7,107.121,100.481,152.158,243.25,259.725,263.827
P1179,8,105.208,31.497,113.385,159.318,221.078,158.991
P1180,1,136.322,25.888,209.469,317.926,345.358,311.731
P1180,2,137.471,23.274,143.212,256.895,280.775,251.706
P1180,3,136.71,22.73,112.925,202.894,249.97,197.136
P1180,4,134.132,25.214,101.459,220.144,235.992,214.182
P1180,5,146.574,27.416,149.987,295.936,297.937,295.967
P1180,6,127.45,20.792,93.132,192.146,221.643,189.186
P1180,7,131.07,28.248,83.351,214.968,216.564,209.725
P1180,8,129.878,25.132,69.604,162.469,201.823,158.81
P1181,1,78.143,18.898,141.365,218.511,221.274,216.578
P1181,2,76.809,17.653,108.785,151.993,186.78,150.53
P1181,3,74.581,17.984,82.34,115.415,158.94,114.711
P1181,4,75.975,18.09,80.583,140.498,158.204,141.18
P1181,5,73.246,18.449,67.971,91.548,143.038,90.284
P1181,6,71.565,15.525,63.42,88.886,136.542,87.703
P1181,7,73.211,18.813,54.858,92.011,129.982,91.289
P1181,8,73.687,18.514,55.643,89.798,131.387,89.534
P1182,1,101.402,22.335,235.634,272.519,337.91,270.536
P1182,2,86.631,20.941,209.739,210.671,297.96,208.09
P1182,3,88.727,21.178,178.328,183.087,268.584,180.467
P1182,4,96.192,27.451,184.021,193.096,282.201,190.15
P1182,5,88.211,24.419,164.913,165.483,255.467,162.174
P1182,6,103.767,29.858,167.325,192.199,273.693,190.021
P1182,7,95.051,27.887,160.161,156.872,257.663,155.235
P1182,8,89.857,31.475,170.367,207.42,261.809,205.82
P1183,1,75.391,13.076,453.551,606.445,529.649,605.814
P1183,2,74.461,19.688,283.462,274.886,358.381,271.828
P1183,3,76.406,7.611,242.31,262.131,318.635,260.394
P1183,4,73.132,7.194,157.437,116.886,230.209,114.812
P1183,5,78.559,9.056,165.722,176.385,243.844,174.069
P1183,6,80.769,13.363,145.951,115.408,226.179,112.777
P1183,7,77.369,8.479,128.982,93.68,205.857,91.986
P1183,8,79.747,8.079,133.428,129.51,212.66,128.826
P1186,1,89.602,31.683,105.072,125.756,192.904,125.647
P1186,2,90.328,29.491,89.9,116.014,181.942,111.373
P1186,3,91.099,28.189,71.507,104.746,163.926,99.034
P1186,4,96.284,34.339,52.19,96.568,149.291,93.788
P1186,5,89.214,34.973,46.874,84.67,135.162,80.903
P1186,6,94.419,28.426,43.313,90.318,137.469,87.414
P1186,7,97.12,31.119,38.478,96.994,135.536,90.786
P1186,8,97.693,35.086,42.897,101.564,143.313,99.058
P1188,1,104.227,22.338,157.964,214.244,260.805,214.308
P1188,2,101.982,17.967,111.419,130.728,213.504,127.254
P1188,3,99.946,19.548,91.065,108.53,190.093,103.97
P1188,4,91.379,21.807,92.65,107.754,184.763,107.517
P1188,5,99.583,19.084,76.144,104.612,176.02,101.579
P1188,6,93.243,20.925,70.38,92.225,163.716,89.223
P1188,7,87.579,16.399,73.717,105.864,161.671,105.366
P1188,8,91.787,18.434,63.917,99.363,155.511,97.353
P1189,1,82.144,25.493,232.57,196.732,315.651,192.472
P1189,2,77.46,24.708,240.912,285.065,318.96,283.405
P1189,3,89.364,27.039,189.206,152.947,279.677,148.827
P1189,4,90.147,27.663,155.419,177.772,247.079,176.461
P1189,5,84.603,21.808,168.452,175.671,253.527,172.267
P1189,6,80.798,23.439,162.017,177.042,243.096,177.285
P1189,7,87.715,21.49,136.048,120.669,224.184,115.942
P1189,8,79.186,17.138,129.499,141.88,208.439,140.257
P1190,1,133.007,26.194,86.457,131.281,222.044,130.637
P1190,2,126.344,27.055,66.665,129.766,197.291,127.477
P1190,3,126.541,26.623,61.537,128.399,191.372,127.139
P1190,4,121.298,28.477,62.101,168.229,187.053,165.387
P1190,5,129.804,28.59,121.641,840.378,255.21,839.494
P1190,6,122.471,27.341,55.261,137.907,181.181,134.495
P1190,7,122.841,27.811,51.542,104.349,178.378,101.519
P1190,8,119.651,27.944,45.935,122.958,169.621,120.942
P1191,1,95.59,25.262,239.077,273.538,334.869,264.72
P1191,2,117.849,28.175,198.525,248.657,317.295,237.984
P1191,3,103.125,26.493,154.512,157.24,259.135,142.685
P1191,4,106.446,25.341,150.873,211.384,258.07,203.448
P1191,5,106.023,25.795,182.143,188.403,289.884,181.995
P1191,6,101.214,23.891,140.424,146.233,243.354,136.376
P1191,7,99.939,25.0,136.715,197.246,238.747,189.921
P1191,8,82.628,21.641,125.158,152.688,208.839,146.176
P1192,1,118.671,30.587,114.524,166.583,229.862,166.593
P1192,2,111.677,27.675,88.088,154.121,195.702,151.394
P1192,3,104.227,28.103,61.241,149.037,161.097,142.529
P1192,4,110.818,27.442,44.565,94.699,152.454,87.191
P1192,5,109.796,34.377,60.909,94.177,166.279,81.403
P1192,6,106.976,35.071,47.29,79.759,149.19,68.781
P1192,7,110.673,35.985,58.51,118.487,164.577,107.893
P1192,8,113.423,30.944,40.148,95.215,150.229,82.11
P1193,1,162.787,36.966,469.549,498.633,634.953,486.182
P1193,2,166.057,33.827,322.066,351.149,490.522,339.41
P1193,3,164.235,36.465,273.921,550.211,440.76,548.393
P1193,4,165.422,31.041,270.22,281.581,437.625,272.655
P1193,5,161.299,32.569,240.931,320.23,404.122,313.771
P1193,6,165.511,33.106,214.186,231.349,381.114,221.46
P1193,7,155.886,30.968,229.126,238.486,386.842,233.144
P1193,8,170.394,34.433,208.687,256.988,382.009,251.615
P1195,1,99.487,20.251,182.826,219.206,282.421,216.179
P1195,2,106.873,30.851,183.799,216.917,289.233,209.593
P1195,3,98.801,19.798,126.492,128.837,224.022,126.163
P1195,4,102.452,21.799,106.926,122.383,208.559,117.918
P1195,5,104.535,25.009,88.672,120.17,193.354,115.096
P1195,6,108.613,33.563,81.813,107.345,190.268,97.559
P1195,7,106.977,27.035,80.518,96.875,187.125,91.206
P1195,8,107.663,23.022,81.58,133.027,189.738,127.106
P1197,1,85.263,20.877,509.853,516.723,595.329,518.136
P1197,2,80.863,17.541,339.476,385.573,419.431,386.441
P1197,3,93.203,20.801,428.229,439.917,520.771,439.245
P1197,4,96.008,21.77,196.872,231.85,293.744,229.862
P1197,5,98.564,22.23,215.371,317.609,314.831,317.997
P1197,6,99.613,21.886,196.929,222.158,297.386,221.289
P1197,7,96.796,21.694,172.438,178.21,269.761,176.31
P1197,8,97.736,20.4,159.218,184.687,256.637,183.614
P1199,1,98.782,19.245,91.418,126.299,190.41,127.709
P1199,2,89.215,17.828,65.744,113.286,154.642,114.039
P1199,3,97.1,19.531,44.786,98.496,142.312,97.274
P1199,4,93.279,19.055,40.264,82.712,133.465,83.788
P1199,5,95.265,20.094,28.761,62.096,124.239,60.711
P1199,6,98.66,25.897,30.633,69.947,129.088,68.789
P1199,7,97.417,22.308,30.507,69.446,127.451,68.536
P1199,8,93.513,23.608,30.682,66.144,123.872,64.853
P1200,1,80.825,18.182,246.595,314.326,328.596,312.411
P1200,2,89.08,24.561,109.205,170.633,197.884,172.267
P1200,3,93.51,24.73,78.643,129.27,174.246,130.41
P1200,4,87.884,18.239,86.597,133.733,175.781,132.862
P1200,5,87.936,19.385,85.537,178.298,175.074,178.272
P1200,6,92.526,19.383,80.184,144.244,173.819,145.233
P1200,7,90.249,19.564,63.436,138.136,153.732,137.036
P1200,8,100.512,26.494,60.062,117.828,160.532,115.987
P1201,1,122.242,25.164,206.495,329.611,328.752,325.682
P1201,2,118.781,23.86,174.22,290.612,293.704,287.454
P1201,3,116.61,21.165,117.937,179.192,234.772,174.324
P1201,4,119.665,22.834,120.778,180.81,240.202,176.08
P1201,5,119.48,22.458,102.216,158.543,222.35,153.797
P1201,6,114.845,20.673,117.247,418.313,231.941,417.51
P1201,7,113.528,20.903,83.261,134.36,197.068,130.885
P1201,8,124.498,29.824,77.025,147.659,203.16,142.018
P1202,1,98.454,10.886,249.004,252.959,347.975,251.529
P1202,2,99.65,12.242,188.536,213.49,287.911,210.738
P1202,3,96.542,10.197,183.12,178.746,279.558,176.025
P1202,4,104.28,14.083,172.63,168.769,276.987,165.639
P1202,5,109.491,15.71,146.756,119.811,256.683,116.36
P1202,6,106.3,17.482,153.356,207.055,259.705,206.28
P1202,7,103.971,35.335,128.971,196.75,233.214,198.135
P1202,8,103.497,15.476,102.77,112.42,206.523,111.19
P1203,1,91.809,19.629,160.971,229.263,251.721,227.606
P1203,2,92.036,20.177,171.413,179.055,262.364,176.801
P1203,3,86.791,16.147,141.692,157.613,227.984,156.502
P1203,4,90.687,16.091,145.48,224.994,235.493,223.839
P1203,5,86.256,15.639,124.334,155.756,210.606,154.392
P1203,6,92.166,17.424,111.046,159.356,202.797,158.722
P1203,7,92.764,16.617,95.254,134.889,188.046,133.694
P1203,8,90.17,15.955,81.885,132.54,172.418,134.124
P1204,1,92.464,24.665,219.2,308.076,315.023,303.656
P1204,2,102.814,28.416,195.095,332.283,301.776,328.274
P1204,3,115.068,37.133,171.436,215.649,291.47,213.052
P1204,4,106.055,33.164,113.055,150.836,222.188,144.373
P1204,5,99.88,30.038,96.628,130.67,199.996,122.866
P1204,6,101.12,26.096,93.537,103.838,196.398,96.664
P1204,7,96.654,24.037,85.168,105.329,183.821,97.817
P1204,8,97.623,25.383,92.454,113.999,191.886,105.277
P1206,1,88.029,11.391,196.423,245.791,284.616,247.419
P1206,2,89.284,12.498,197.41,224.432,286.824,224.535
P1206,3,91.949,13.576,201.335,214.264,293.144,214.409
P1206,4,95.479,14.126,176.889,226.941,272.86,227.911
P1206,5,96.112,13.17,198.384,222.827,295.324,222.135
P1206,6,96.415,13.509,185.745,233.155,282.714,233.079
P1206,7,97.871,42.155,196.642,255.718,293.579,255.08
P1206,8,98.019,15.547,177.788,239.284,277.241,239.226
P1207,1,99.439,18.652,157.306,175.478,256.951,176.126
P1207,2,95.742,19.715,95.856,128.298,191.248,128.557
P1207,3,93.055,19.815,74.714,78.647,167.773,75.748
P1207,4,100.147,19.319,106.416,122.799,207.371,115.213
P1207,5,88.378,18.84,75.166,89.924,163.842,87.854
P1207,6,90.961,17.548,89.571,109.758,180.273,106.092
P1207,7,96.472,20.042,72.389,102.133,168.204,101.345
P1207,8,94.651,20.889,71.959,95.53,166.784,93.804
P1208,1,80.248,18.848,101.175,132.273,180.658,134.591
P1208,2,82.166,19.355,93.625,128.322,174.219,131.571
P1208,3,95.521,24.037,72.693,113.828,167.942,116.714
P1208,4,98.865,23.93,61.654,122.023,159.77,125.462
P1208,5,82.24,19.073,67.624,130.218,148.523,132.615
P1208,6,80.185,20.295,65.869,104.819,145.223,107.841
P1208,7,83.205,22.156,55.038,89.51,137.196,86.67
P1208,8,92.671,22.616,76.928,153.055,168.21,154.464
P1209,1,164.481,28.944,123.569,266.047,286.834,261.045
P1209,2,157.645,28.163,77.52,158.163,234.961,148.97
P1209,3,163.896,28.505,97.908,176.795,261.169,167.669
P1209,4,162.409,27.482,77.624,148.149,239.474,141.801
P1209,5,170.876,32.17,68.342,174.062,238.097,167.82
P1209,6,166.633,33.202,63.508,171.398,228.18,159.781
P1209,7,164.213,36.625,60.035,144.826,223.346,132.496
P1209,8,183.817,35.568,57.817,157.131,240.368,141.142
P1210,1,116.135,18.36,548.184,590.768,664.285,591.561
P1210,2,108.836,21.401,372.048,349.172,479.144,349.694
P1210,3,112.982,19.305,348.365,261.386,461.35,262.046
P1210,4,109.822,17.349,224.293,199.161,334.184,198.557
P1210,5,105.413,16.044,218.086,215.225,323.305,216.39
P1210,6,101.053,14.114,228.785,177.241,330.232,176.94
P1210,7,101.553,16.459,214.901,157.264,316.458,154.837
P1210,8,100.835,14.989,201.469,145.181,302.746,144.101
P1211,1,71.457,18.603,135.806,160.9,207.188,164.525
P1211,2,75.664,17.69,118.004,124.968,192.898,124.934
P1211,3,78.015,18.411,121.503,113.65,199.44,112.142
P1211,4,74.5,17.685,118.429,137.503,193.187,136.393
P1211,5,78.358,18.239,104.574,128.166,182.615,127.982
P1211,6,77.75,20.136,91.712,104.994,169.703,105.898
P1211,7,73.671,18.189,96.348,103.174,169.512,105.256
P1211,8,78.304,20.542,96.316,104.69,173.713,104.537
P1213,1,79.32,13.744,130.625,140.575,209.127,138.036
P1213,2,80.221,11.471,111.068,105.912,189.764,106.362
P1213,3,84.662,13.317,120.526,138.277,203.294,138.021
P1213,4,82.438,14.304,104.221,131.248,185.059,128.441
P1213,5,83.254,13.621,89.941,108.594,171.696,107.955
P1213,6,84.756,15.812,100.267,111.759,183.204,110.767
P1213,7,86.364,14.017,94.932,90.42,179.679,89.289
P1213,8,85.022,15.705,102.704,120.236,186.213,120.791
P1214,1,172.138,32.806,335.848,323.707,506.51,318.138
P1214,2,168.127,47.322,242.617,244.223,409.021,238.221
P1214,3,216.489,288.614,219.785,247.361,414.693,324.421
P1214,4,166.188,59.175,220.249,274.249,384.535,279.22
P1214,5,163.654,31.922,214.72,200.262,377.746,190.615
P1214,6,159.089,31.32,215.524,218.003,372.112,209.335
P1214,7,161.105,29.565,173.666,182.26,331.638,176.021
P1214,8,169.533,33.782,203.402,222.762,368.34,221.003
P1215,1,105.7,31.341,73.32,94.366,176.775,92.247
P1215,2,99.995,40.526,79.432,90.214,172.213,90.873
P1215,3,106.267,34.133,55.237,71.433,158.857,71.234
P1215,4,107.728,38.317,40.808,78.985,145.363,68.839
P1215,5,115.351,38.802,39.079,77.099,152.164,67.823
P1215,6,116.213,38.183,40.851,100.535,152.563,94.833
P1215,7,108.692,44.365,46.84,91.032,151.073,82.61
P1215,8,124.209,86.946,38.372,100.228,155.137,91.972
P1216,1,98.784,21.029,361.919,375.619,459.75,374.858
P1216,2,100.821,24.282,248.644,257.292,348.527,254.518
P1216,3,102.075,25.28,193.765,162.696,295.69,156.911
P1216,4,102.646,24.676,184.334,160.957,285.725,158.864
P1216,5,107.223,22.291,175.53,161.685,282.564,161.226
P1216,6,110.122,23.253,152.346,132.312,263.048,131.055
P1216,7,100.573,23.136,133.398,114.814,234.19,111.973
P1216,8,102.286,23.237,143.632,130.267,247.066,126.154
P1217,1,90.531,34.952,312.13,218.967,396.041,215.85
P1217,2,88.45,24.3,303.392,288.319,388.111,287.042
P1217,3,88.983,27.344,255.486,204.349,339.968,202.811
P1217,4,91.395,30.62,226.281,162.948,313.883,157.16
P1217,5,88.497,24.903,286.895,171.771,371.113,168.982
P1217,6,86.955,30.151,217.608,153.333,300.371,144.398
P1217,7,88.104,28.132,210.253,129.588,293.918,121.4
P1217,8,95.795,35.48,204.175,154.874,295.196,144.333
P1218,1,97.307,18.328,195.963,735.553,291.08,733.965
P1218,2,90.244,17.788,242.016,257.369,331.147,253.648
P1218,3,96.917,30.236,137.999,174.886,232.998,172.985
P1218,4,100.534,30.672,159.387,173.432,258.233,168.169
P1218,5,95.974,19.268,154.058,205.966,248.125,202.995
P1218,6,94.342,18.873,114.12,152.228,206.578,148.442
P1218,7,99.243,24.987,115.56,152.641,213.88,145.006
P1218,8,109.922,22.067,116.482,174.012,224.44,167.545
