sessionIndex,stress132,UD.g.r,UD.r.e,UD.e.a,UD.a.t,UD.t.space,UD.space.f,UD.f.r,UD.r.i,UD.i.e,UD.e.n,UD.n.d,UD.d.s,UD.s.space,UD.space.a,UD.a.r,UD.r.e.1,UD.e.space,UD.space.g,UD.g.o,UD.o.o,UD.o.d,UD.d.space,UD.space.t,UD.t.o,UD.o.space,UD.space.h,UD.h.a,UD.a.v,UD.v.e,UD.e.Return
002,75% quartile,151.1,101.3,128.0,48.8,101.9,133.25,133.1,68.3,80.2,66.1,77.575,114.2,77.9,79.6,87.5,45.1,60.3,115.5,72.0,108.2,61.0,66.8,81.2,39.6,84.35,127.4,50.4,47.0,93.6,133.1
002,mode,139.5,-1.4,-1.3,1.3,1.2,1.3,111.3,-1.4,1.4,-1.3,1.3,-32.2,1.1,-1.1,1.3,-33.0,-1.3,1.3,-1.2,98.7,1.2,1.1,1.3,-1.4,1.2,1.3,-1.4,1.1,41.3,-1.2
002,median,127.25,-23.5,12.8,-6.7,51.0,72.3,113.4,34.6,54.1,38.6,48.0,-19.0,39.4,41.1,-5.9,-31.4,22.0,59.6,39.4,97.1,32.5,40.7,43.4,11.4,22.8,86.8,19.8,10.4,60.5,66.7
003,mean,117.635,8.129,34.354,6.181,57.367,94.791,112.232,47.508,68.869,47.595,55.84,22.817,46.938,53.357,14.523,-6.933,29.876,83.182,51.736,97.711,40.352,48.879,45.567,17.273,39.457,81.31,21.633,9.795,66.727,77.103
003,std,77.541,98.697,125.502,87.517,84.251,125.386,72.019,94.416,101.992,80.524,80.522,110.16,83.789,97.768,108.375,82.155,76.975,114.482,69.322,37.064,76.469,65.825,73.706,64.845,89.625,104.0,63.302,81.444,62.95,105.538
003,max,1721.1,1378.4,1437.5,1196.1,1616.4,2107.0,1353.8,2675.0,2047.7,1783.8,1120.5,1333.6,1320.2,1601.2,1901.3,1112.3,1426.8,1521.3,1036.1,966.2,1454.7,1683.0,1523.1,1134.0,1548.9,1924.8,1319.9,1394.8,1300.2,1634.9
003,min,1.2,-1133.0,-269.5,-198.5,-160.8,-238.2,1.2,-133.5,-128.0,-140.7,-95.0,-379.8,-351.6,-217.9,-310.6,-226.1,-149.8,-93.4,-96.7,37.0,-114.0,-138.5,-167.7,-214.2,-201.7,-181.6,-164.4,-158.8,1.2,-124.9
003,range,1719.9,2511.4,1707.0,1394.6,1777.2,2345.2,1352.6,2808.5,2175.7,1924.5,1215.5,1713.4,1671.8,1819.1,2211.9,1338.4,1576.6,1614.7,1132.8,929.2,1568.7,1821.5,1690.8,1348.2,1750.6,2106.4,1484.3,1553.6,1299.0,1759.8
003,skewness,4.896,2.335,2.128,2.821,3.922,3.872,5.575,7.564,6.151,7.346,4.602,2.297,3.067,4.822,2.977,2.525,3.876,3.294,3.899,10.332,5.659,5.258,3.695,4.178,3.981,2.685,4.524,4.221,6.609,3.28
003,kurtosis,57.793,20.259,13.298,18.041,42.879,27.094,56.703,118.814,58.957,93.436,33.375,14.17,22.343,44.936,27.722,18.106,37.645,17.711,30.983,152.434,56.164,74.833,36.273,39.32,42.528,20.633,54.03,42.623,83.107,22.546
