sessionIndex,,DD.g.r,DD.r.e,DD.e.a,DD.a.t,DD.t.space,DD.space.f,DD.f.r,DD.r.i,DD.i.e,DD.e.n,DD.n.d,DD.d.s,DD.s.space,DD.space.a,DD.a.r,DD.r.e.1,DD.e.space,DD.space.g,DD.g.o,DD.o.o,DD.o.d,DD.d.space,DD.space.t,DD.t.o,DD.o.space,DD.space.h,DD.h.a,DD.a.v,DD.v.e,DD.e.Return
002,mode,221.0,80.2,93.2,87.3,103.0,134.0,192.8,95.8,124.3,114.1,134.0,86.5,122.2,125.3,81.5,89.2,117.8,138.5,112.6,140.1,101.4,112.7,106.5,83.4,111.7,177.5,86.3,94.5,114.4,137.4
002,median,202.3,101.3,137.5,119.7,140.0,175.65,187.0,117.1,126.9,120.15,130.6,110.8,148.9,139.85,117.6,96.3,120.1,156.2,124.5,150.9,105.1,124.9,136.5,95.2,119.6,172.65,97.4,113.5,132.35,156.9
003,mean,186.544,124.447,150.853,126.165,146.989,195.804,185.593,128.985,141.383,127.818,137.027,132.637,157.637,151.429,130.301,106.879,127.564,179.048,134.107,151.448,111.489,134.665,136.199,100.793,129.337,176.816,101.226,116.671,133.748,167.408
003,std,90.047,79.853,102.905,77.311,77.881,124.93,75.252,97.455,101.404,80.837,78.234,90.834,77.721,94.871,92.786,62.109,74.278,114.416,67.379,41.496,76.224,62.086,73.008,60.203,79.431,98.151,59.84,72.198,71.077,101.603
003,max,1874.6,1442.9,1442.3,1384.2,1672.6,2177.2,1537.9,2811.6,2106.9,1851.3,1176.2,1376.3,1416.8,1689.3,1958.6,1234.2,1525.2,1647.9,1086.0,1034.8,1515.6,1729.2,1584.3,1200.3,1651.0,2001.6,1415.4,1440.5,1345.5,1701.4
003,min,3.4,0.0,1.2,1.3,1.2,32.2,27.2,1.1,5.0,1.2,6.3,0.0,6.9,1.3,1.3,1.4,1.2,10.3,12.1,69.7,1.2,11.9,1.3,1.1,1.2,1.3,0.0,1.1,2.6,1.8
003,range,1871.2,1442.9,1441.1,1382.9,1671.4,2145.0,1510.7,2810.5,2101.9,1850.1,1169.9,1376.3,1409.9,1688.0,1957.3,1232.8,1524.0,1637.6,1073.9,965.1,1514.4,1717.3,1583.0,1199.2,1649.8,2000.3,1415.4,1439.4,1342.9,1699.6
003,skewness,3.392,4.156,3.724,3.992,4.877,3.946,5.021,7.099,6.214,7.238,4.924,3.564,3.796,5.288,4.206,5.034,4.267,3.425,3.968,8.33,5.73,6.131,3.836,4.961,5.715,3.336,5.434,5.528,4.792,3.589
003,kurtosis,36.405,38.642,27.623,31.469,56.563,27.268,50.078,109.634,59.179,90.446,36.393,27.975,29.734,51.427,46.322,58.699,42.776,18.249,31.623,111.411,56.658,88.563,36.195,49.456,71.528,26.072,66.426,61.021,51.389,25.857
003,25% quartile,139.5,74.9,84.8,82.6,103.3,129.3,155.9,86.3,100.5,93.0,100.7,74.1,115.9,105.5,71.2,71.8,85.6,117.9,96.0,133.5,75.3,104.8,94.7,71.0,84.1,122.1,69.9,78.7,91.2,108.4
003,50% quartile,193.3,100.5,127.5,109.1,132.8,161.4,180.0,110.8,121.65,116.0,121.3,105.2,142.6,131.35,107.6,92.6,115.2,146.05,119.4,146.7,98.3,126.7,124.5,92.2,117.5,162.5,95.0,105.0,123.7,143.5
003,75% quartile,224.5,167.2,199.5,148.4,172.4,213.7,203.3,143.8,147.225,142.8,148.3,181.5,177.8,167.8,174.5,135.725,151.1,195.7,149.8,161.7,124.9,152.0,159.2,117.7,157.6,202.6,122.5,138.8,163.2,196.2
003,mode,204.9,69.7,86.1,94.4,105.4,119.5,187.5,85.5,109.5,107.5,104.2,73.9,122.2,121.6,72.5,79.7,92.2,133.2,88.6,143.8,97.7,122.2,125.5,80.5,130.7,129.0,76.8,98.2,145.8,101.8
003,median,193.3,100.5,127.5,109.1,132.8,161.4,180.0,110.8,121.65,116.0,121.3,105.2,142.6,131.35,107.6,92.6,115.2,146.05,119.4,146.7,98.3,126.7,124.5,92.2,117.5,162.5,95.0,105.0,123.7,143.5
004,mean,189.348,123.124,145.862,129.495,147.458,193.459,186.23,132.218,138.817,132.077,133.601,132.766,161.143,143.534,133.712,103.207,126.339,173.85,140.032,153.119,111.761,141.133,139.154,104.976,127.047,180.798,98.905,118.889,133.185,168.957
004,std,90.23,83.192,98.983,82.067,84.274,126.022,73.768,98.756,99.951,76.031,83.495,87.868,89.53,87.687,91.41,57.809,72.035,111.762,71.573,45.646,79.288,64.669,76.639,58.639,74.512,104.404,61.874,71.454,75.616,106.435
004,max,2187.4,2589.3,2262.2,1388.1,2124.6,2201.5,1763.7,2632.3,2079.6,1940.2,2048.3,1601.8,2468.1,2227.5,1899.2,1161.6,1455.7,2423.7,1626.0,1346.8,1464.4,1158.6,1400.8,1497.4,1401.4,1622.3,1598.1,1415.6,1852.8,1920.1
004,min,7.6,1.4,1.4,1.3,1.7,2.9,19.5,1.1,3.2,1.2,2.4,1.6,1.4,1.3,1.3,0.0,1.2,1.8,3.4,70.8,1.2,1.1,1.3,1.1,1.5,1.3,0.0,1.1,1.3,1.3
004,range,2179.8,2587.9,2260.8,1386.8,2122.9,2198.6,1744.2,2631.2,2076.4,1939.0,2045.9,1600.2,2466.7,2226.2,1897.9,1161.6,1454.5,2421.9,1622.6,1276.0,1463.2,1157.5,1399.5,1496.3,1399.9,1621.0,1598.1,1414.5,1851.5,1918.8
004,skewness,3.461,6.298,4.708,4.552,6.513,4.249,5.551,7.577,6.421,7.385,6.129,2.809,6.305,5.456,3.813,3.856,4.683,4.691,5.715,11.236,5.756,4.67,4.113,5.407,3.906,3.571,6.788,5.65,6.469,4.118
004,kurtosis,43.19,111.694,56.902,40.059,86.832,31.6,68.054,119.434,65.587,99.288,68.284,19.306,87.332,62.394,38.748,41.184,53.561,42.443,75.838,204.099,53.153,42.714,39.14,68.525,35.944,25.847,103.207,66.85,93.83,31.054
004,25% quartile,135.8,73.9,81.3,85.1,104.1,128.2,156.7,89.4,100.3,98.5,95.5,73.9,118.2,100.8,74.3,68.6,86.775,117.1,101.0,135.4,75.2,108.8,97.0,73.9,81.6,125.0,66.8,80.5,90.7,111.3
004,50% quartile,197.3,99.7,122.3,111.3,134.65,162.0,181.7,113.95,119.8,121.45,116.6,104.5,145.7,127.1,112.6,90.2,114.6,147.2,125.0,148.8,98.2,132.5,127.4,96.6,114.9,165.6,92.9,108.0,121.8,144.0
004,75% quartile,229.425,166.5,198.4,150.4,169.2,210.8,206.3,147.425,143.5,147.3,145.3,183.1,180.8,160.225,177.85,131.1,149.5,189.4,157.4,164.1,124.3,158.8,163.3,124.8,157.1,207.725,120.15,142.3,164.3,195.9
004,mode,199.1,78.6,86.1,89.4,131.0,134.0,178.8,104.5,119.0,127.0,98.4,83.4,130.4,109.2,69.6,88.4,102.5,117.9,113.9,148.8,94.8,133.8,94.1,82.6,95.9,165.9,95.0,101.9,87.0,122.1
004,median,197.3,99.7,122.3,111.3,134.65,162.0,181.7,113.95,119.8,121.45,116.6,104.5,145.7,127.1,112.6,90.2,114.6,147.2,125.0,148.8,98.2,132.5,127.4,96.6,114.9,165.6,92.9,108.0,121.8,144.0
