Stress132,,Holds,Holds,UD Latencies,UD Latencies,DD Latencies,DD Latencies
,,mean,std,mean,std,mean,std
subject,sessionIndex,,,,,,
s287,3,81.689,19.193,57.345,90.123,138.452,86.611
s287,4,85.69,21.384,45.398,83.465,129.994,77.948
s288,1,124.225,31.372,12.862,85.945,132.89,77.886
s288,2,125.317,32.491,3.309,79.248,122.409,67.561
s288,3,117.399,34.708,14.963,88.782,125.504,77.523
s288,4,119.692,35.815,17.596,101.015,129.978,89.835
s289,1,119.263,34.738,17.323,65.766,134.201,53.648
s289,2,115.732,38.346,24.005,78.439,136.434,66.007
s289,3,111.418,40.26,17.552,70.789,125.566,55.367
s289,4,118.862,46.486,12.735,71.102,127.031,50.001
s290,1,67.798,17.352,50.038,61.792,117.246,59.809
s290,2,74.036,20.33,51.197,67.06,124.252,62.942
s290,3,77.258,23.572,45.736,75.722,121.734,71.183
s290,4,82.195,27.366,35.609,61.851,115.541,57.609
s291,1,108.85,38.5,90.522,136.955,188.259,136.888
s291,2,110.976,39.344,83.307,154.032,181.838,154.951
s291,3,110.338,43.116,74.822,132.039,171.371,131.934
s291,4,117.489,45.762,61.429,137.204,164.589,135.797
s292,1,99.805,42.49,50.68,88.857,148.718,80.541
s292,2,103.531,37.894,39.572,78.731,143.435,66.59
s292,3,94.312,36.074,35.482,77.026,130.38,65.465
s292,4,94.709,31.416,29.486,70.693,124.746,59.928
s293,1,76.077,22.993,64.389,108.063,139.16,104.35
s293,2,85.022,25.61,54.644,106.05,137.847,102.076
s293,3,79.966,26.453,53.574,103.201,131.592,97.606
s293,4,84.221,27.384,49.522,94.183,132.032,88.48
s294,1,81.349,16.538,84.19,100.572,166.397,101.499
s294,2,81.687,16.345,84.821,100.541,166.807,101.861
s294,3,79.098,16.24,73.916,85.252,153.274,83.938
s294,4,78.782,15.934,86.936,79.145,166.314,78.084
s295,1,105.792,28.092,66.804,94.387,171.56,92.739
s295,2,117.713,34.075,42.418,75.551,158.0,72.624
s295,3,110.702,34.449,43.407,70.127,152.348,65.937
s295,4,119.333,37.484,32.964,76.097,149.801,67.227
s296,1,98.404,27.841,53.585,84.39,151.037,83.314
s296,2,102.908,31.334,45.856,84.27,147.185,81.529
s296,3,98.936,30.481,42.957,117.766,139.332,117.415
s296,4,102.773,30.796,36.016,85.028,136.056,82.531
s297,1,54.571,10.524,129.772,89.138,184.621,87.252
s297,2,54.543,11.521,115.779,86.563,170.736,83.622
s297,3,55.476,10.467,115.077,81.305,170.905,77.884
s297,4,53.48,10.889,107.731,87.378,161.577,84.912
s298,1,101.54,26.079,58.486,104.746,160.507,102.031
s298,2,107.328,24.907,40.271,91.741,148.13,86.648
s298,3,109.597,26.327,27.268,79.917,137.264,73.516
s298,4,106.327,26.625,20.97,71.531,127.661,65.502
s299,1,90.015,27.298,56.839,103.724,145.95,97.518
s299,2,103.865,28.684,46.361,117.177,148.846,113.817
s299,3,109.368,29.924,29.578,87.96,136.57,81.543
s299,4,107.855,30.475,28.878,100.584,134.358,93.682
s300,1,106.555,31.22,12.741,75.713,118.431,70.525
s300,2,111.828,31.759,3.927,63.792,114.809,56.815
s300,3,101.995,30.735,13.236,74.593,114.753,69.671
s300,4,104.944,31.026,6.11,66.628,110.278,59.238
s301,1,91.586,15.975,109.024,106.347,200.714,104.119
s301,2,87.177,17.701,101.192,82.924,188.522,80.598
s301,3,81.799,17.05,115.222,115.608,197.077,113.794
s301,4,82.766,18.295,108.989,114.371,191.513,113.689
s302,1,98.569,28.074,32.174,61.805,131.655,55.484
s302,2,95.412,27.877,35.527,75.931,131.643,69.614
s302,3,100.591,31.492,19.251,64.986,120.828,53.446
s302,4,94.188,31.203,36.957,71.361,131.844,59.902
